room_idx,room_name,occupied_mesh_volume,mesh_volume,ratio_occupied_mesh_volume,percentage_occupied_mesh_volume,occupied_box_volume,boxcoll_volume,ratio_occupied_boxcoll_volume,percentage_occupied_boxcoll_volume,area,area_2_boundingbox,object_count_1,mesh_obj_count,manual_object_count,num_corners,view_outside,degree
1,ANTIQUES,191.6665408,676.5063,0.2833181905,28.33181905,209.1676198,1047.20516,0.1997389125,19.97389125,131.4747,203.5152,40,30,12,4,0,
2,TV,13.5086336,426.1793,0.03169706646,3.169706646,16.5748206,872.8552396,0.01898919757,1.898919757,116.8919,239.4064,46,47,21,3,1,
3,CANDY,11.22741139,250.5462,0.04481174086,4.481174086,37.40650981,301.6875489,0.123990897,12.3990897,61.79978,74.41332,27,26,26,4,0,
4,CLASS,157.8042039,791.4453,0.1993873789,19.93873789,8.010245762,1405.931069,0.005697466922,0.5697466922,104.8363,186.2323,11,11,8,4,0,
5,TOOL,2.429187181,517.8192,0.004691187931,0.4691187931,14.72005578,912.8094402,0.01612609942,1.612609942,73.9641,130.3833,14,14,10,6,0,
6,BEDROOM,48.96043815,331.0419,0.1478980097,14.78980097,19.19380396,501.816745,0.0382486319,3.82486319,52.04053,78.88686,22,21,15,4,1,
7,ISLAND,241.2196128,2037.795,0.1183728554,11.83728554,131.2078541,2682.193886,0.04891810947,4.891810947,245.2253,322.7712,196,192,22,10,1,
8,PLANET,30.47774684,5093.303,0.005983886456,0.5983886456,57.83173389,7042.703881,0.008211581073,0.8211581073,165.0072,228.16,5,4,4,0,0,
9,COMPUTER,22.98598165,384.0356,0.05985377826,5.985377826,21.08150967,574.0972763,0.0367211456,3.67211456,74.85239,111.8984,111,105,60,5,0,
10,PAINTING,1.102516663,312.9064,0.003523471117,0.3523471117,2.512211172,768.7452982,0.003267936959,0.3267936959,57.01181,140.0648,99,106,19,4,0,
11,STORAGE,82.90321867,1952.079,0.04246919242,4.246919242,98.4304388,5233.241039,0.01880869581,1.880869581,240.5749,644.9441,160,159,161,4,1,
12,CHESS,1937.399054,9848.667,0.1967168809,19.67168809,646.3350663,13545.13037,0.04771715359,4.771715359,692.9103,952.9844,5,5,35,0,1,
13,EMPTY,0,537.7804,0,0,0,862.5223673,0,0,65.08064,104.3804,1,0,0,4,1,
14,CATS,164.034292,879.3614,0.1865379717,18.65379717,12.56699141,904.5399186,0.01389324137,1.389324137,87.47634,89.98178,16,111,11,4,0,
15,RUINS,23.77783299,588.4437,0.04040799994,4.040799994,48.51688391,1167.898087,0.04154205274,4.154205274,122.733,243.5874,101,101,12,3,1,
16,CLOCKS,53.07694356,168.008,0.3159191441,31.59191441,67.27560037,389.3451688,0.172791666,17.2791666,32.86012,76.14998,186,219,34,4,0,
17,CRYSTALS,4.169218198,326.1171,0.01278442068,1.278442068,78.86042049,514.4023472,0.1533049391,15.33049391,41.29261,65.13324,6,6,6,8,0,
18,COLORFUL,62.03103171,309.9413,0.2001379994,20.01379994,62.03103171,448.5137581,0.1383035204,13.83035204,42.33323,61.26056,9,5,4,5,0,
19,ALTAR,0.7360292274,480.8626,0.00153064353,0.153064353,75.9900178,774.4005649,0.09812753406,9.812753406,29.29076,47.17113,11,10,2,4,1,
20,APPLECRATE,2.587197555,202.3832,0.01278365771,1.278365771,13.88246686,461.7855166,0.03006258613,3.006258613,46.09792,105.1825,113,105,38,6,1,
21,BDAY,3.145120353,496.1337,0.006339259665,0.6339259665,8.386578565,668.6414341,0.01254271443,1.254271443,99.68826,134.3496,51,93,21,6,0,
22,FIREPIT,8.576602313,245.7817,0.03489520299,3.489520299,8.576602313,249.6852466,0.03434965594,3.434965594,41.05645,41.70856,17,17,7,4,0,
23,HUMAN,77.2795104,259.1465,0.2982078106,29.82078106,1.935988675,333.3059532,0.005808443131,0.5808443131,72.61251,93.39309,19,18,9,0,1,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,convert to ranks / ,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.059614729,6.296507232,,,,,,,,,redo object count calculation using new parent groups,,,,,,
,1.224626626,,,,,,,,,,occupied volume scripts also tell me object count,,,,,,
,1.059613115,,,,,,,,,,,,,,,,
,1.224625042,,,,,,,,,,,,,,,,
,5.498763364,,,,,,,,,,,,,20,,,
,26.12851562,,,,,,,,,,,,,29,,,
,0.2907368314,,,,,,,,,,,,,31,,,
,0.2907368753,,,,,,,,,,,,,60,,,
,0.9982995787,,,,,,,,,,,,,,,,
,0.5436282619,,,,,,,,,,,,,,,,
,0.199971278,,,,,,,,,,,,,,,,
,25.56610334,,,,,,,,,,,,,,,,
,0.9983009338,,,,,,,,,,,,,,,,
,1.412570818,,,,,,,,,,,,,,,,
,10.40277812,,,,,,,,,,,,,,,,
,15.70805073,,,,,,,,,,,,,,,,
,6.296507232,,,,,,,,,,,,,,,,
,5.44809359,,,,,,,,,,,,,,,,
,6.355074933,,,,,,,,,,,,,,,,
,8.037232618,,,,,,,,,,,,,,,,
,8.037236766,,,,,,,,,,,,,,,,
,126.7810804,,,,,,,,,,,,,,,,
